gs_cat,gs_subcat,gs_name,entrez_gene,gene_symbol,human_entrez_gene,human_gene_symbol,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,species_name,species_common_name,ortholog_sources,num_ortholog_sources
H,,HALLMARK_ANDROGEN_RESPONSE,27362,Dnajb9,4189,DNAJB9,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,13714,Elk4,2005,ELK4,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,192657,Ell2,22936,ELL2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,68801,Elovl5,60481,ELOVL5,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,76267,Fads1,3992,FADS1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,14229,Fkbp5,2289,FKBP5,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,14679,Gnai3,2773,GNAI3,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,333433,Gpd1l,23171,GPD1L,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,14782,Gsr,2936,GSR,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,60596,Gucy1a1,2982,GUCY1A1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,14958,H1f0,3005,H1-0,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,73998,Herc3,8916,HERC3,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,15357,Hmgcr,3156,HMGCR,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,208715,Hmgcs1,3157,HMGCS1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,26557,Homer2,9455,HOMER2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,15446,Hpgd,3248,HPGD,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,66065,Hsd17b14,51171,HSD17B14,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,319554,Idi1,3422,IDI1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl",10
H,,HALLMARK_ANDROGEN_RESPONSE,234515,Inpp4b,8821,INPP4B,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,231070,Insig1,3638,INSIG1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,544963,Iqgap2,10788,IQGAP2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,16410,Itgav,3685,ITGAV,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,16612,Klk1,3817,KLK2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"PhylomeDB,EggNOG,Panther,OMA,Treefam,Ensembl,OrthoDB",7
H,,HALLMARK_ANDROGEN_RESPONSE,16669,Krt19,3880,KRT19,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,16691,Krt8,3856,KRT8,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,16880,Lifr,3977,LIFR,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,70361,Lman1,3998,LMAN1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,17132,Maf,4094,MAF,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,17152,Mak,4117,MAK,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,17761,Map7,9053,MAP7,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,17289,Mertk,10461,MERTK,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,67268,Myl12a,10627,MYL12A,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"EggNOG,HGNC,OMA,Treefam,OrthoDB",5
H,,HALLMARK_ANDROGEN_RESPONSE,27057,Ncoa4,8031,NCOA4,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,HGNC,OMA,Panther,Ensembl,OrthoDB",9
H,,HALLMARK_ANDROGEN_RESPONSE,17988,Ndrg1,10397,NDRG1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,59007,Ngly1,55768,NGLY1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,18095,Nkx3-1,4824,NKX3-1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,18813,Pa2g4,5036,PA2G4,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",9
H,,HALLMARK_ANDROGEN_RESPONSE,56376,Pdlim5,10611,PDLIM5,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,109785,Pgm3,5238,PGM3,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,56469,Pias1,8554,PIAS1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,19012,Plpp1,8611,PLPP1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,65112,Pmepa1,56937,PMEPA1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",9
H,,HALLMARK_ANDROGEN_RESPONSE,19229,Ptk2b,2185,PTK2B,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,24000,Ptpn21,11099,PTPN21,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,19341,Rab4a,5867,RAB4A,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,110651,Rps6ka3,6197,RPS6KA3,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,107094,Rrp12,23223,RRP12,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,20229,Sat1,6303,SAT1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,Panther,OMA,Treefam,Ensembl",10
H,,HALLMARK_ANDROGEN_RESPONSE,20250,Scd2,6319,SCD,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,EggNOG,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",9
H,,HALLMARK_ANDROGEN_RESPONSE,69608,Sec24d,9871,SEC24D,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,20363,Selenop,6414,SELENOP,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,20393,Sgk1,6446,SGK1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,13521,Slc26a2,1836,SLC26A2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,67760,Slc38a2,54407,SLC38A2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,20603,Sms,6611,SMS,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,20322,Sord,6652,SORD,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,76687,Spcs3,60559,SPCS3,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam",8
H,,HALLMARK_ANDROGEN_RESPONSE,30051,Spdef,25803,SPDEF,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,20807,Srf,6722,SRF,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,66384,Srp19,6728,SRP19,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,117167,Steap4,79689,STEAP4,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,53416,Stk39,27347,STK39,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,71817,Tmem50a,23585,TMEM50A,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,50528,Tmprss2,7113,TMPRSS2,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,106869,Tnfaip8,25816,TNFAIP8,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,21985,Tpd52,7163,TPD52,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,21807,Tsc22d1,8848,TSC22D1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,107652,Uap1,6675,UAP1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,22196,Ube2i,7329,UBE2I,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl",10
H,,HALLMARK_ANDROGEN_RESPONSE,56228,Ube2j1,51465,UBE2J1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,30960,Vapa,9218,VAPA,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,22596,Xrcc5,7520,XRCC5,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANDROGEN_RESPONSE,14375,Xrcc6,2547,XRCC6,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANDROGEN_RESPONSE,229055,Zbtb10,65986,ZBTB10,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANDROGEN_RESPONSE,328365,Zmiz1,57178,ZMIZ1,M5908,,,,,Genes defining response to androgens.,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,11818,Apoh,350,APOH,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,11820,App,351,APP,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,EggNOG,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,12444,Ccnd2,894,CCND2,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,12825,Col3a1,1281,COL3A1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"HomoloGene,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANGIOGENESIS,12832,Col5a2,1290,COL5A2,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,20311,Cxcl5,6372,CXCL6,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"HomoloGene,OrthoMCL,Panther,OMA,Treefam,Ensembl,OrthoDB",7
H,,HALLMARK_ANGIOGENESIS,14182,Fgfr1,2260,FGFR1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,14314,Fstl1,11167,FSTL1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,16410,Itgav,3685,ITGAV,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANGIOGENESIS,16449,Jag1,182,JAG1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,16450,Jag2,3714,JAG2,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ANGIOGENESIS,16523,Kcnj8,3764,KCNJ8,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,16956,Lpl,4023,LPL,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,HGNC,OMA,Panther,Ensembl,OrthoDB",8
H,,HALLMARK_ANGIOGENESIS,16976,Lrpap1,4043,LRPAP1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,NCBI,HGNC,Panther,OMA,Ensembl,OrthoDB",9
H,,HALLMARK_ANGIOGENESIS,17022,Lum,4060,LUM,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ANGIOGENESIS,17701,Msx1,4487,MSX1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,18186,Nrp1,8829,NRP1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,108078,Olr1,4973,OLR1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,18590,Pdgfa,5154,PDGFA,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,NCBI,EggNOG,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ANGIOGENESIS,56744,Pf4,5196,PF4,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"HomoloGene,PhylomeDB,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,OrthoDB",9
H,,HALLMARK_ANGIOGENESIS,21946,Pglyrp1,8993,PGLYRP1,M5944,,,,,Genes up-regulated during formation of blood vessels (angiogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
